time,symbol,timeframe,open,high,low,close,tick_volume,real_volume,spread
2025-11-04 03:00:00,XAUUSD,H1,3986.47,3994.54,3979.63,3987.42,5248,0,5
2025-11-04 04:00:00,XAUUSD,H1,3987.38,3987.38,3975.51,3986.71,4808,0,5
2025-11-04 05:00:00,XAUUSD,H1,3987.02,3999.38,3981.66,3994.66,4511,0,5
2025-11-04 06:00:00,XAUUSD,H1,3994.52,3995.19,3983.58,3985.51,4313,0,16
2025-11-04 07:00:00,XAUUSD,H1,3985.09,3986.93,3973.08,3973.45,4726,0,5
2025-11-04 08:00:00,XAUUSD,H1,3973.44,3987.82,3966.91,3985.24,5084,0,5
2025-11-04 09:00:00,XAUUSD,H1,3985.23,3996.34,3982.33,3993.95,4719,0,5
2025-11-04 10:00:00,XAUUSD,H1,3994.17,4000.69,3990.59,3996.04,4799,0,5
2025-11-04 11:00:00,XAUUSD,H1,3995.81,3999.38,3990.35,3991.17,4638,0,5
2025-11-04 12:00:00,XAUUSD,H1,3991.13,3997.37,3985.87,3993.86,4564,0,5
2025-11-04 13:00:00,XAUUSD,H1,3994.04,4000.21,3991.61,3995.5,3919,0,16
2025-11-04 14:00:00,XAUUSD,H1,3995.52,3997.58,3983.39,3984.67,4552,0,5
2025-11-04 15:00:00,XAUUSD,H1,3984.3,3995.96,3972.0,3975.93,5240,0,5
2025-11-04 16:00:00,XAUUSD,H1,3975.24,3977.55,3928.9,3956.82,5620,0,5
2025-11-04 17:00:00,XAUUSD,H1,3956.93,3967.73,3941.09,3956.8,5492,0,5
2025-11-04 18:00:00,XAUUSD,H1,3956.86,3976.02,3956.77,3969.02,5109,0,5
2025-11-04 19:00:00,XAUUSD,H1,3969.33,3970.98,3952.43,3955.11,5022,0,5
2025-11-04 20:00:00,XAUUSD,H1,3954.79,3956.85,3932.19,3937.76,5217,0,5
2025-11-04 21:00:00,XAUUSD,H1,3937.76,3943.98,3934.77,3937.36,5120,0,5
2025-11-04 22:00:00,XAUUSD,H1,3937.48,3942.02,3931.48,3938.72,4846,0,5
2025-11-04 23:00:00,XAUUSD,H1,3938.7,3938.7,3930.63,3931.85,2333,0,5
2025-11-05 01:00:00,XAUUSD,H1,3934.14,3940.35,3930.83,3934.74,4137,0,14
2025-11-05 02:00:00,XAUUSD,H1,3934.74,3943.18,3929.03,3939.88,4878,0,5
2025-11-05 03:00:00,XAUUSD,H1,3940.36,3949.39,3934.03,3937.07,5240,0,10
2025-11-05 04:00:00,XAUUSD,H1,3937.02,3950.88,3935.68,3948.58,4643,0,5
